yawrate,speed,course,latitude,longitude,altitude
-18.713,2.42,324.2,51.039553,13.792498,111.52
-17.7391,2.45,329.62,51.039553,13.792498,111.52
-16.5565,2.45,329.62,51.039553,13.792498,111.52
-15.4434,2.45,329.62,51.039553,13.792498,111.52
-15.026,2.45,329.62,51.039553,13.792498,111.52
-13.2173,2.45,329.62,51.039555,13.792498,111.54
-12.5217,2.49,332.11,51.039555,13.792498,111.54
-11.1304,2.49,332.11,51.039555,13.792498,111.54
-10.5043,2.49,332.11,51.039555,13.792498,111.54
-9.113,2.49,332.11,51.039555,13.792498,111.54
-8.0,2.49,332.11,51.039556,13.792498,111.55
-7.0956,2.5,336.5899,51.039556,13.792498,111.55
-6.6086,2.5,336.5899,51.039556,13.792498,111.55
-6.4,2.5,336.5899,51.039556,13.792498,111.55
-4.7304,2.5,336.5899,51.039556,13.792498,111.55
-3.9652,2.5,336.5899,51.039559,13.792502,111.55
-3.2695,2.18,354.0,51.039559,13.792502,111.55
-2.6434,2.18,354.0,51.039559,13.792502,111.55
-2.0173,2.18,354.0,51.039559,13.792502,111.55
-0.9043,2.18,354.0,51.039559,13.792502,111.55
0.0,2.18,354.0,51.039561,13.792503,111.57
0.5565,2.2799,9.33,51.039561,13.792503,111.57
0.626,2.2799,9.33,51.039561,13.792503,111.57
0.6956,2.2799,9.33,51.039561,13.792503,111.57
1.0434,2.2799,9.33,51.039561,13.792503,111.57
1.3913,2.2799,9.33,51.039563,13.792508,111.58
1.6695,2.79,35.87,51.039563,13.792508,111.58
1.3217,2.79,35.87,51.039563,13.792508,111.58
1.8086,2.79,35.87,51.039563,13.792508,111.58
1.5304,2.79,35.87,51.039563,13.792508,111.58
0.626,2.79,35.87,51.039567,13.792512,111.58
0.3478,3.79,45.39,51.039567,13.792512,111.58
0.2086,3.79,45.39,51.039567,13.792512,111.58
-0.1391,3.79,45.39,51.039567,13.792512,111.58
-0.1391,3.79,45.39,51.039567,13.792512,111.58
0.5565,3.79,45.39,51.039569,13.792518,111.6
0.4869,4.78,55.33,51.039569,13.792518,111.6
0.5565,4.78,55.33,51.039569,13.792518,111.6
1.3913,4.78,55.33,51.039569,13.792518,111.6
0.626,4.78,55.33,51.039569,13.792518,111.6
1.113,4.78,55.33,51.039571,13.792521,111.62
0.9043,5.33,56.91,51.039571,13.792521,111.62
